index,mtx,m,n,nnz,right-n,pixel_gflops
1519,0304_oscil_dcop_10.mtx,430,430,1544,8,1.544
1520,0115_curtis54.mtx,54,54,291,8,0.31
1521,2181_lhr34c.mtx,35152,35152,764014,8,127.336
1522,0349_dwt_221.mtx,221,221,1629,8,0.965
1523,0474_can_268.mtx,268,268,3082,8,2.144
1524,1958_vibrobox.mtx,12328,12328,342828,8,78.361
1525,2494_amazon0312.mtx,400727,400727,3200440,8,30.282
1526,1793_jnlbrng1.mtx,40000,40000,199200,8,72.436
1527,1948_me2010.mtx,69518,69518,335476,8,29.331
1528,1405_shermanACd.mtx,6136,6136,53329,8,23.702
1529,1577_fxm3_6(0).mtx,5026,5026,94026,8,45.588
1530,1573_big.mtx,13209,13209,91465,8,43.042
1531,1483_ex20.mtx,2203,2203,69981,8,43.065
1532,0242_flower_7_1.mtx,463,393,1178,8,1.346
1533,2394_cfd1.mtx,70656,70656,1828364,8,134.192
1534,2548_TF19.mtx,241029,317955,4370721,8,44.26
1535,2319_raefsky4.mtx,19779,19779,1328611,8,181.69
1536,0947_D_9.mtx,815,1133,12395,8,9.916
1537,0561_Maragal_2.mtx,555,350,4357,8,3.169
1538,1365_rosen2.mtx,1032,3080,47536,8,20.556
1539,0521_bp_200.mtx,822,822,3802,8,2.173
1540,0463_qh768.mtx,768,768,2934,8,1.739
1541,1134_delaunay_n12.mtx,4096,4096,24528,8,17.839
1542,2236_net50.mtx,16320,16320,945200,8,113.708
1543,1196_lp_greenbea.mtx,2392,5598,31070,8,16.036
1544,2772_mawi_201512012345.mtx,18571154,18571154,38040320,8,44.652
1545,0612_nos5.mtx,468,468,5172,8,3.183
1546,2025_bcsstk17.mtx,10974,10974,428650,8,112.433
1547,1633_scfxm1-2b.mtx,19036,33047,111052,8,48.022
1548,0381_bcsstm26.mtx,1922,1922,1922,8,3.844
1549,1752_jan99jac080.mtx,27534,27534,171522,8,41.581
1550,2477_thermomech_dK.mtx,204316,204316,2846228,8,63.781
1551,0013_relat3.mtx,12,5,24,8,0.043
1552,2050_af23560.mtx,23560,23560,484256,8,146.19
1553,1965_cit-HepTh.mtx,27770,27770,352807,8,23.423
1554,0844_filter2D.mtx,1668,1668,10750,8,9.053
1555,0732_lp_nug08.mtx,912,1632,7296,8,4.49
1556,2562_rajat29.mtx,643994,643994,4866270,8,70.654
1557,1597_se.mtx,32768,32768,98300,8,54.234
1558,2835_mycielskian18.mtx,196607,196607,300933832,8,135.065
1559,0951_D_7.mtx,1270,971,12714,8,7.824
1560,0009_rel3.mtx,12,5,18,8,0.032
1561,1811_g3rmt3m3.mtx,5357,5357,207695,8,92.309
1562,2560_apache2.mtx,715176,715176,4817870,8,98.324
1563,1872_airfoil_2d.mtx,14214,14214,259688,8,64.922
1564,1025_freeFlyingRobot_4.mtx,2358,2358,18218,8,11.66
1565,0323_oscil_dcop_31.mtx,430,430,1544,8,1.453
1566,1797_c-52.mtx,23948,23948,202716,8,55.922
1567,1414_ex10.mtx,2410,2410,54840,8,38.15
1568,2244_crystk02.mtx,13965,13965,968583,8,150.459
1569,1764_wang3.mtx,26064,26064,177168,8,74.597
1570,0814_G21.mtx,800,800,9334,8,6.223
1571,1280_G2.mtx,800,800,38352,8,24.545
1572,0006_mycielskian3.mtx,5,5,10,8,0.018
1573,1691_cavity24.mtx,4562,4562,138187,8,69.094
1574,2632_thermal2.mtx,1228045,1228045,8580313,8,56.473
1575,0231_pde225.mtx,225,225,1065,8,1.549
1576,0320_oscil_dcop_04.mtx,430,430,1544,8,0.95
1577,0924_watt_1.mtx,1856,1856,11360,8,12.983
1578,0608_Franz1.mtx,2240,768,5120,8,5.12
1579,2608_sls.mtx,1748122,62729,6804304,8,53.498
1580,1946_ckt11752_dc_1.mtx,49702,49702,333029,8,58.555
1581,2518_smt.mtx,25710,25710,3753184,8,166.808
1582,1282_G1.mtx,800,800,38352,8,27.892
1583,0509_dwt_419.mtx,419,419,3563,8,2.85
1584,2443_Stanford.mtx,281903,281903,2312497,8,12.28
1585,1509_cegb3306.mtx,3306,3306,74916,8,39.955
1586,1177_spaceShuttleEntry_3.mtx,1834,1834,28757,8,20.005
1587,0812_G15.mtx,800,800,9322,8,6.215
1588,0395_tols340.mtx,340,340,2196,8,1.255
1589,0520_sherman4.mtx,1104,1104,3786,8,4.66
1590,1537_dano3mip.mtx,3202,15851,81633,8,25.118
1591,1418_Goodwin_013.mtx,1965,1965,56069,8,30.935
1592,0190_zed.mtx,116,142,666,8,0.82
1593,0926_extr1.mtx,2837,2837,11407,8,9.126
1594,2200_nemeth19.mtx,9506,9506,818302,8,221.912
1595,2229_soc-Slashdot0811.mtx,77360,77360,905468,8,27.387
1596,1919_Goodwin_030.mtx,10142,10142,312814,8,89.375
1597,0373_rw496.mtx,496,496,1859,8,2.288
1598,1710_bauru5727.mtx,40366,40366,145019,8,48.34
1599,1591_Franz9.mtx,19588,4164,97508,8,67.832
1600,0884_adder_dcop_39.mtx,1813,1813,11246,8,5.623
1601,2159_image_interp.mtx,240000,120000,711683,8,96.499
1602,0899_adder_dcop_15.mtx,1813,1813,11246,8,5.623
1603,2445_ASIC_680ks.mtx,682712,682712,2329176,8,66.076
1604,1512_ex13.mtx,2568,2568,75628,8,40.335
1605,1905_c-60.mtx,43640,43640,298578,8,58.259
1606,2579_para-9.mtx,155924,155924,5416358,8,89.434
1607,0128_wheel_7_1.mtx,114,113,338,8,0.361
1608,0173_Trec8.mtx,23,84,549,8,0.418
1609,0109_GD97_b.mtx,47,47,264,8,0.302
