index,mtx,m,n,nnz,cusparse,pixel_time,pixel_gflops
2197,2820_Cube_Coup_dt6.mtx,2164760,2164760,127206144,0.000,1.635,155.594
2198,1200_c-27.mtx,4563,4563,31375,0.000,0.005,11.837
2199,1412_ex7.mtx,1633,1633,54543,0.000,0.006,19.511
2200,2744_cage14.mtx,1505785,1505785,27130349,0.000,1.215,44.661
2201,2681_kkt_power.mtx,2063494,2063494,14612663,0.000,3.337,8.758
2202,1754_SiH4.mtx,5041,5041,171903,0.000,0.006,54.075
2203,1005_nos3.mtx,960,960,15844,0.000,0.004,7.634
2204,2643_m_t1.mtx,97578,97578,9753570,0.000,0.112,173.727
2205,0959_rajat12.mtx,1879,1879,12926,0.000,0.005,4.800
2206,0264_impcol_d.mtx,425,425,1339,0.000,0.004,0.668
2207,2667_halfb.mtx,224617,224617,12387821,0.000,0.151,164.605
2208,1838_onetone2.mtx,36057,36057,227628,0.000,0.011,40.753
2209,1226_gemat11.mtx,4929,4929,33185,0.000,0.004,16.371
2210,1393_n3c6-b7.mtx,6435,6435,51480,0.000,0.004,24.011
2211,0058_n4c5-b11.mtx,10,120,120,0.000,0.004,0.054
2212,1602_ex9.mtx,3363,3363,99471,0.000,0.006,35.697
2213,2429_com-DBLP.mtx,317080,317080,2099732,0.000,0.523,8.032
2214,2662_tp-6.mtx,142752,1014301,11537419,0.000,0.470,49.101
2215,1368_PGPgiantcompo.mtx,10680,10680,48632,0.000,0.012,7.960
2216,2326_va2010.mtx,285762,285762,1402128,0.000,0.316,8.876
2217,2268_case39.mtx,40216,40216,1042160,0.000,0.010,217.911
2218,0595_plsk1919.mtx,1919,1919,4831,0.000,0.004,2.659
2219,0705_GL6_D_8.mtx,544,637,6153,0.000,0.004,3.172
2220,2179_Andrews.mtx,60000,60000,760154,0.000,0.219,6.935
2221,0573_rdb800l.mtx,800,800,4640,0.000,0.004,2.564
2222,1456_fd18.mtx,16428,16428,63406,0.000,0.004,29.484
2223,0703_lowThrust_1.mtx,584,584,6133,0.000,0.005,2.313
2224,1428_whitaker3_dual.mtx,19190,19190,57162,0.000,0.005,23.470
2225,0918_adder_dcop_43.mtx,1813,1813,11246,0.000,0.006,4.036
2226,1044_coater1.mtx,1348,1348,19457,0.000,0.005,7.778
2227,1258_reorientation_7.mtx,3057,3057,37150,0.000,0.005,14.037
2228,1462_c-34.mtx,6611,6611,64333,0.000,0.006,20.840
2229,2111_bcsstk33.mtx,8738,8738,591904,0.000,0.008,150.020
2230,0584_hor_131.mtx,434,434,4710,0.000,0.004,2.314
2231,2742_FullChip.mtx,2987012,2987012,26621990,0.000,1.271,41.899
2232,0188_ash331.mtx,331,104,662,0.000,0.003,0.419
2233,0311_oscil_dcop_36.mtx,430,430,1544,0.000,0.004,0.800
2234,0018_n3c4-b4.mtx,6,15,30,0.000,0.002,0.026
2235,2590_Ga3As3H12.mtx,61349,61349,5970947,0.000,0.107,111.272
2236,2522_barrier2-1.mtx,113076,113076,3805068,0.000,0.228,33.316
2237,1738_bcsstk24.mtx,3562,3562,159910,0.000,0.006,56.040
2238,1775_Ill_Stokes.mtx,20896,20896,191368,0.000,0.036,10.640
2239,2464_net125.mtx,36720,36720,2577200,0.000,0.057,90.191
2240,1489_air06.mtx,825,8627,70806,0.000,0.005,27.005
2241,2079_soc-sign-Slashdot090221.mtx,82144,82144,549202,0.000,0.109,10.109
2242,0410_lund_b.mtx,147,147,2441,0.000,0.005,1.039
2243,2763_packing-500x100x100-b050.mtx,2145852,2145852,34976486,0.000,0.919,76.089
2244,2801_bone010.mtx,986703,986703,71666325,0.000,0.896,159.886
2245,0688_fpga_dcop_23.mtx,1220,1220,5892,0.000,0.005,2.234
2246,1111_G35.mtx,2000,2000,23556,0.000,0.005,8.786
2247,0913_adder_dcop_14.mtx,1813,1813,11246,0.000,0.006,4.037
2248,2525_barrier2-3.mtx,113076,113076,3805068,0.000,0.226,33.669
2249,2356_mi2010.mtx,329885,329885,1578090,0.000,0.297,10.612
2250,0235_fs_183_3.mtx,183,183,1069,0.000,0.005,0.428
2251,1609_Franz8.mtx,16728,7176,100368,0.000,0.004,47.444
2252,2713_circuit5M_dc.mtx,3523317,3523317,19194193,0.000,0.806,47.601
2253,1564_n4c6-b13.mtx,6300,25605,88200,0.000,0.007,25.287
2254,0636_spaceStation_2.mtx,329,329,5817,0.000,0.005,2.546
2255,2380_crashbasis.mtx,160000,160000,1750416,0.000,0.028,123.517
2256,1877_rlfddd.mtx,4050,61521,264627,0.000,0.009,58.904
2257,1070_p2p-Gnutella08.mtx,6301,6301,20777,0.000,0.005,7.650
2258,2381_majorbasis.mtx,160000,160000,1750416,0.000,0.028,124.425
2259,1078_bayer09.mtx,3083,3083,21216,0.000,0.004,9.583
2260,0283_lp_scorpion.mtx,388,466,1534,0.000,0.004,0.792
